,SHEETBAR,DATE,LATITUDE,LONGITUDE,FLDNUM,STRATUM,LOCATCD,TN,TP,TEMP,DO,TURB,COND,VEL,SS,WDP,CHLcal,SECCHI,YEAR,MONTH,SEASON,PredictedTN,PredictedTP,PredictedVEL
80,45001783,10/13/1995,37.5235678569735,-89.5044009453089,5,1,9553087,,,10.54124,8.7,63.0,607.0,,64.1,2.3,10.54124,,1995,10,FALL,1.8743454895480638,0.10483285027113329,0.8568828116483178
81,45001784,10/13/1995,37.5181607672859,-89.5046535032609,5,1,9553005,1.434,0.113,11.75564,8.6,63.0,612.0,,60.6,8.3,11.75564,,1995,10,FALL,1.434,0.113,0.8570945739373006
82,45001785,10/13/1995,37.5108293792684,-89.5004719806632,5,1,9553088,,,11.51276,8.6,70.0,625.0,,68.0,7.4,11.51276,35.0,1995,10,FALL,2.142173960693198,0.10978395113218346,0.8573101320856626
83,45001786,10/13/1995,37.5106952859938,-89.4959544090424,5,1,9553089,,,10.86508,8.8,61.0,607.0,,56.9,6.2,10.86508,,1995,10,FALL,2.053572359067092,0.1101863198952448,0.8572925701152361
84,45001787,10/13/1995,37.4979656074921,-89.4920269861018,5,1,9553006,2.535,0.108,9.65068,8.8,34.0,609.0,,40.9,13.2,9.65068,,1995,10,FALL,2.535,0.108,0.8576227212093119
85,45001788,10/13/1995,37.4684355211039,-89.4685421601359,5,1,9553090,,,12.72716,8.7,67.0,608.0,,61.5,5.3,12.72716,,1995,10,FALL,2.3277626762817425,0.11342898138015309,0.0
86,45001789,10/13/1995,37.4647017309375,-89.4641969956962,5,1,9553091,,,11.99852,8.8,48.0,610.0,,30.4,9.9,11.99852,,1995,10,FALL,1.4641663445844628,0.08455880035252884,0.0
87,45001790,10/13/1995,37.4611031227269,-89.4643666651925,5,1,9553007,1.428,0.137,10.6222,8.7,69.0,620.0,,60.4,7.9,10.6222,33.0,1995,10,FALL,1.428,0.137,0.0
88,45001791,10/13/1995,37.4575045116629,-89.464536304522,5,1,9553092,,,10.6222,8.7,71.0,626.0,,66.1,6.8,10.6222,35.0,1995,10,FALL,1.4634598013659854,0.08558328801932108,0.0
89,45001792,10/13/1995,37.4535673579992,-89.4534210406551,5,1,9553093,,,11.8366,8.8,66.0,621.0,,63.9,10.5,11.8366,35.0,1995,10,FALL,1.4534336882719827,0.10012115200562516,0.0
90,45001793,10/13/1995,37.4352350692804,-89.4429893336524,5,1,9553008,1.468,0.079,11.18892,8.7,66.0,626.0,,64.3,5.5,11.18892,35.0,1995,10,FALL,1.468,0.079,0.0
91,45001794,10/13/1995,37.4151028180028,-89.4326478878113,5,1,9553094,,,12.88908,8.8,57.0,627.0,,64.1,11.3,12.88908,38.0,1995,10,FALL,1.4963559775765107,0.12816650746580124,0.0
92,45001795,10/13/1995,37.418564921227,-89.4279652822596,5,1,9553009,1.43,0.134,12.88908,8.7,67.0,619.0,,,8.4,12.88908,35.0,1995,10,FALL,1.43,0.134,0.0
93,45001796,10/13/1995,37.5726187983753,-89.517953395308,5,1,9553003,1.496,0.146,11.027,8.8,61.0,605.0,,57.6,5.0,11.027,,1995,10,FALL,1.496,0.146,0.8520404130606374
94,45001797,10/16/1995,37.1073144638543,-89.3841490487143,5,1,9553033,1.528,0.105,12.88908,9.4,46.0,594.0,,47.1,10.2,12.88908,,1995,10,FALL,1.528,0.105,0.03111263685745979
95,45001798,10/16/1995,37.0910525666555,-89.3826735713059,5,1,9553112,,,13.94156,9.3,50.0,601.0,,54.0,2.9,13.94156,36.0,1995,10,FALL,1.416812223961442,0.11535631856371122,0.030632982312800178
96,45001799,10/16/1995,37.0963130258266,-89.3779243695782,5,1,9553034,1.491,0.122,12.80812,9.6,30.0,595.0,,53.7,9.9,12.80812,,1995,10,FALL,1.491,0.122,0.030594825600518058
97,45001800,10/16/1995,37.0871793565359,-89.3738613585273,5,1,9553035,1.357,0.11,12.6462,9.2,43.0,595.0,,53.6,9.1,12.6462,35.0,1995,10,FALL,1.357,0.11,0.0
98,45001801,10/16/1995,37.072854113643,-89.3767931649137,5,1,9553113,,,12.56524,9.2,47.0,598.0,,55.3,6.2,12.56524,29.0,1995,10,FALL,1.374885948172031,0.13630286495886906,0.8427182449600843
99,45001802,10/16/1995,37.0675160089479,-89.3792959796255,5,1,9553114,,,15.4798,9.2,43.0,601.0,,51.4,7.0,15.4798,29.0,1995,10,FALL,1.430333217360618,0.15585966133046125,0.8671763191636385
100,45001803,10/16/1995,37.0587253319377,-89.3864591664646,5,1,9553036,1.391,0.16,15.075,9.2,47.0,601.0,,48.0,9.0,15.075,30.0,1995,10,FALL,1.391,0.16,0.9155206742892368
101,45001804,10/16/1995,37.054989764707,-89.3821401765176,5,1,9553037,1.507,0.11,15.15596,9.3,45.0,596.0,,51.5,5.7,15.15596,,1995,10,FALL,1.507,0.11,0.8893416674194176
102,45001805,10/16/1995,37.0461303967267,-89.387057071308,5,1,9553038,1.516,0.126,11.59372,9.2,42.0,600.0,,54.1,8.7,11.59372,29.0,1995,10,FALL,1.516,0.126,1.1814633408070137
103,45001806,10/16/1995,37.0329179923462,-89.3674561820626,5,1,9553039,1.49,0.13,12.32236,9.2,41.0,600.0,,,12.3,12.32236,,1995,10,FALL,1.49,0.13,0.6647965436630827
104,45001807,10/16/1995,37.0327803190825,-89.3629677274285,5,1,9553040,1.506,0.09,11.91756,9.2,47.0,596.0,,43.3,8.4,11.91756,,1995,10,FALL,1.506,0.09,0.6632372570263663
105,45001808,10/16/1995,37.0291818477251,-89.3631395430176,5,1,9553115,,,11.91756,9.2,44.0,601.0,,48.1,8.3,11.91756,30.0,1995,10,FALL,1.4966274120561311,0.11343146985967212,0.6627931307082273
106,45001809,10/16/1995,37.056287786468,-89.3803923068751,5,2,9553080,1.467,0.152,12.16044,9.3,22.0,597.0,0.0,27.4,7.4,12.16044,38.0,1995,10,FALL,1.467,0.152,0.0
107,45001810,10/16/1995,37.0540044119046,-89.3793768288126,5,2,9553061,1.735,0.141,11.26988,9.1,40.0,595.0,1.59,,3.4,11.26988,30.0,1995,10,FALL,1.735,0.141,1.59
108,45001811,10/16/1995,37.0498531364794,-89.3762022549049,5,2,9553138,,,13.21292,9.1,41.0,595.0,0.75,51.1,2.1,13.21292,28.0,1995,10,FALL,1.479588023111114,0.11885165317874408,0.75
109,45001812,10/16/1995,37.049368989874,-89.3751012986303,5,2,9553062,1.437,0.117,12.72716,9.3,46.0,596.0,0.76,45.6,2.8,12.72716,29.0,1995,10,FALL,1.437,0.117,0.76
110,45001813,10/16/1995,37.0489020063521,-89.3745615375309,5,2,9553063,1.506,0.12,12.97004,9.3,40.0,595.0,0.93,49.3,2.5,12.97004,32.0,1995,10,FALL,1.506,0.12,0.93
111,45001814,10/17/1995,37.6281981772583,-89.5085624162317,5,1,9553081,,,13.37484,9.1,48.0,584.0,,51.8,5.2,13.37484,25.0,1995,10,FALL,2.277541237455953,0.1443403283706533,1.0577675864602685
112,45001815,10/17/1995,37.6246664927129,-89.510993205472,5,1,9553001,1.663,0.127,12.97004,9.1,56.0,587.0,,53.8,2.8,12.97004,28.0,1995,10,FALL,1.663,0.127,1.059316627745952
113,45001816,10/17/1995,37.6197685004502,-89.5129213257237,5,2,9553066,2.549,0.152,12.88908,8.8,52.0,587.0,1.04,,3.7,12.88908,28.0,1995,10,FALL,2.549,0.152,1.04
114,45001817,10/17/1995,37.6157534150983,-89.5142416279037,5,2,9553050,1.425,0.172,14.34636,8.9,52.0,587.0,1.07,,3.5,14.34636,28.0,1995,10,FALL,1.425,0.172,1.07
115,45001818,10/17/1995,37.6135376630197,-89.5154777122587,5,2,9553124,,,14.42732,8.6,52.0,587.0,1.51,,4.2,14.42732,28.0,1995,10,FALL,1.6164561229819712,0.1479545627534491,1.51
116,45001819,10/17/1995,37.6125710938065,-89.5132578413243,5,2,9553051,1.847,0.119,13.61772,8.9,52.0,586.0,1.02,52.4,3.5,13.61772,28.0,1995,10,FALL,1.847,0.119,1.02
117,45001820,10/17/1995,37.6121547056814,-89.5144098126963,5,2,9553125,,,15.4798,8.8,52.0,587.0,1.01,54.5,3.6,15.4798,30.0,1995,10,FALL,1.6905849055248092,0.12358359251209351,1.01
118,45001821,10/17/1995,37.6113051812423,-89.5161482520482,5,2,9553126,,,12.88908,8.8,53.0,587.0,1.05,53.8,3.5,12.88908,30.0,1995,10,FALL,1.5376667197331098,0.12799999005004198,1.05
119,45001822,10/17/1995,37.6108720535777,-89.5167347254129,5,2,9553052,1.687,0.1,11.75564,8.8,53.0,587.0,1.0,52.6,4.1,11.75564,29.0,1995,10,FALL,1.687,0.1,1.0
120,45001823,10/17/1995,37.6108051889174,-89.5144728742802,5,2,9553053,1.574,0.127,14.91308,8.6,52.0,586.0,0.72,,1.6,14.91308,28.0,1995,10,FALL,1.574,0.127,0.72
121,45001827,10/17/1995,37.610372069857,-89.5150593525624,5,2,9553054,1.463,0.142,12.80812,8.8,52.0,586.0,0.94,48.2,2.0,12.80812,28.0,1995,10,FALL,1.463,0.142,0.94
122,45001828,10/17/1995,37.6085727122932,-89.5151434126888,5,2,9553055,1.531,0.15,12.2414,8.9,52.0,587.0,0.54,,1.0,12.2414,28.0,1995,10,FALL,1.531,0.15,0.54
123,45001832,10/17/1995,37.608622852688,-89.5168397508431,5,2,9553127,,,12.88908,7.4,52.0,587.0,1.06,49.8,3.2,12.88908,28.0,1995,10,FALL,1.4884999960101095,0.1449999995306011,1.06
124,45001833,10/17/1995,37.6081897201666,-89.5174261981207,5,2,9553128,,,14.2654,7.5,52.0,587.0,1.06,52.2,3.6,14.2654,30.0,1995,10,FALL,1.623977015782393,0.12019967442872023,1.06
125,45001834,10/17/1995,37.6073067434197,-89.5180336345779,5,2,9553143,,,12.40332,8.0,53.0,588.0,1.0,56.5,2.7,12.40332,27.0,1995,10,FALL,1.5067410930451515,0.1490669651171212,1.0
126,45001835,10/17/1995,37.6054572607037,-89.5164213440588,5,2,9553129,,,13.77964,7.9,53.0,587.0,0.83,55.4,2.3,13.77964,28.0,1995,10,FALL,1.5080471278137935,0.1584131212917373,0.83
127,45001836,10/17/1995,37.605074238556,-89.5187040281797,5,2,9553067,1.479,0.148,13.61772,7.9,53.0,587.0,1.1,55.4,3.8,13.61772,28.0,1995,10,FALL,1.479,0.148,1.1
128,45001837,10/17/1995,37.6041745555619,-89.5187460072566,5,2,9553068,1.532,0.167,12.97004,8.0,53.0,587.0,0.72,50.6,3.6,12.97004,29.0,1995,10,FALL,1.532,0.167,0.72
