,SHEETBAR,DATE,LATITUDE,LONGITUDE,FLDNUM,STRATUM,LOCATCD,TN,TP,TEMP,DO,TURB,COND,VEL,SS,WDP,CHLcal,SECCHI,MONTH,SEASON,YEAR,PREDICTED_TN,PREDICTED_TP,PREDICTED_TEMP,PREDICTED_DO,PREDICTED_TURB,PREDICTED_COND,PREDICTED_VEL,PREDICTED_SS,PREDICTED_WDP,PREDICTED_CHLcal,PREDICTED_SECCHI
12,41000077,07/26/1993,44.5881422291768,-92.5284707674516,1,3,9312127,,,22.8,6.1,23.0,522.0,0.1,21.2,2.0,11.78122,53.0,7,SUMMER,1993,3.1253111740212316,0.16087308418262897,22.8,6.1,23.0,522.0,0.1,21.2,2.0,11.78122,53.0
13,41000078,07/26/1993,44.5844779138234,-92.513383787428,1,2,9312114,,,23.0,6.5,31.0,523.0,,49.2,2.4,10.17262,45.0,7,SUMMER,1993,3.9702139452143967,0.18693394076086162,23.0,6.5,31.0,523.0,0.2689506578023951,49.2,2.4,10.17262,45.0
14,41000079,07/26/1993,44.5790000691563,-92.495795099975,1,2,9312116,,,23.0,6.4,28.0,523.0,,49.5,2.3,9.93133,38.0,7,SUMMER,1993,2.8827542554634715,0.17473066920596078,23.0,6.4,28.0,523.0,0.21780156527977712,49.5,2.3,9.93133,38.0
15,41000080,07/26/1993,44.5790222001892,-92.5008333046837,1,2,9312016,3.819,0.221,23.3,6.3,24.0,527.0,,30.5,2.5,11.94208,37.0,7,SUMMER,1993,3.819,0.221,23.3,6.3,24.0,527.0,0.3021983680461925,30.5,2.5,11.94208,37.0
16,41000081,07/26/1993,44.5770856384063,-92.4706205016171,1,3,9312231,4.056,0.231,23.4,6.4,20.0,538.0,0.09,20.5,1.9,10.49434,53.0,7,SUMMER,1993,4.056,0.231,23.4,6.4,20.0,538.0,0.09,20.5,1.9,10.49434,53.0
17,41000082,07/26/1993,44.5735651130209,-92.4882851770102,1,3,9312032,3.757,0.231,23.5,6.5,27.0,547.0,0.27,34.1,2.7,11.62036,50.0,7,SUMMER,1993,3.757,0.231,23.5,6.5,27.0,547.0,0.27,34.1,2.7,11.62036,50.0
18,41000083,07/26/1993,44.5718203945997,-92.5008949115687,1,3,9312033,3.904,0.21,23.9,6.6,21.0,549.0,0.1,18.8,2.4,12.82681,54.0,7,SUMMER,1993,3.904,0.21,23.9,6.6,21.0,549.0,0.1,18.8,2.4,12.82681,54.0
19,41000084,07/26/1993,44.5661999125846,-92.4530887329035,1,2,9312117,,,23.3,6.3,31.0,550.0,,44.7,2.8,10.97692,44.0,7,SUMMER,1993,2.8210933406672347,0.15508706565243136,23.3,6.3,31.0,550.0,0.039999999999999994,44.7,2.8,10.97692,44.0
20,41000085,07/26/1993,44.5698485955105,-92.4631297475255,1,3,9312129,,,23.5,6.4,21.0,528.0,0.04,21.4,2.1,12.58552,60.0,7,SUMMER,1993,2.995637949053428,0.18103225403758622,23.5,6.4,21.0,528.0,0.04,21.4,2.1,12.58552,60.0
21,41000086,07/26/1993,44.5752261253656,-92.4580422033529,1,3,9312128,,,23.9,6.7,19.0,515.0,0.04,19.3,2.2,15.64186,56.0,7,SUMMER,1993,3.143500000004874,0.18800000000022965,23.9,6.7,19.0,515.0,0.04,19.3,2.2,15.64186,56.0
22,41000087,07/26/1993,44.5571490321852,-92.4431005067085,1,3,9312130,,,24.0,6.4,22.0,564.0,0.13,20.7,2.0,11.70079,50.0,7,SUMMER,1993,3.314323620697348,0.16813168965647424,24.0,6.4,22.0,564.0,0.13,20.7,2.0,11.70079,50.0
23,41000088,07/26/1993,44.5681066531037,-92.475739404302,1,1,9312105,,,23.1,6.7,31.0,552.0,,45.7,2.5,16.2853,45.0,7,SUMMER,1993,2.9713355544411217,0.17458769374829852,23.1,6.7,31.0,552.0,0.028451873268920194,45.7,2.5,16.2853,45.0
24,41000089,07/27/1993,44.3376450385377,-91.9534378515552,1,3,9312148,,,23.0,6.8,17.0,536.0,0.62,19.5,1.5,8.2423,56.0,7,SUMMER,1993,2.9058601023778916,0.16190487133485437,23.0,6.8,17.0,536.0,0.62,19.5,1.5,8.2423,56.0
25,41000090,07/27/1993,44.3322211452754,-91.951025723526,1,3,9312053,4.234,0.225,23.0,6.9,17.0,537.0,0.58,19.0,1.8,9.52918,52.0,7,SUMMER,1993,4.234,0.225,23.0,6.9,17.0,537.0,0.58,19.0,1.8,9.52918,52.0
26,41000091,07/27/1993,44.3339752554216,-91.945977101302,1,3,9312052,4.088,0.226,23.0,7.0,15.0,540.0,0.27,14.5,0.8,8.88574,60.0,7,SUMMER,1993,4.088,0.226,23.0,7.0,15.0,540.0,0.27,14.5,0.8,8.88574,60.0
27,41000092,07/27/1993,44.3285743795972,-91.9460738371099,1,3,9312149,,,23.0,6.8,15.0,538.0,0.33,15.9,3.5,9.12703,57.0,7,SUMMER,1993,3.8743797256903996,0.2278284271250699,23.0,6.8,15.0,538.0,0.33,15.9,3.5,9.12703,57.0
28,41000093,07/27/1993,44.328551209291,-91.9435658080406,1,3,9312055,3.84,0.227,23.1,7.1,15.0,537.0,0.2,18.7,3.0,9.77047,54.0,7,SUMMER,1993,3.84,0.227,23.1,7.1,15.0,537.0,0.2,18.7,3.0,9.77047,54.0
29,41000094,07/27/1993,44.3267509176196,-91.9435981239757,1,3,9312056,3.923,0.229,23.2,7.1,17.0,536.0,0.16,17.4,3.3,10.25305,65.0,7,SUMMER,1993,3.923,0.229,23.2,7.1,17.0,536.0,0.16,17.4,3.3,10.25305,65.0
30,41000095,07/27/1993,44.3284110312617,-91.9285176972232,1,2,9312029,3.436,0.221,23.2,7.0,16.0,535.0,,16.8,3.5,11.13778,65.0,7,SUMMER,1993,3.436,0.221,23.2,7.0,16.0,535.0,0.4614201348116095,16.8,3.5,11.13778,65.0
31,41000096,07/27/1993,44.3302113135922,-91.9284849181255,1,3,9312054,3.831,0.221,23.7,7.2,15.0,525.0,0.54,14.5,0.8,8.72488,64.0,7,SUMMER,1993,3.831,0.221,23.7,7.2,15.0,525.0,0.54,14.5,0.8,8.72488,64.0
32,41000097,07/27/1993,44.3320585474321,-91.9334684675212,1,2,9312126,,,23.3,7.4,15.0,529.0,,14.1,1.6,10.01176,64.0,7,SUMMER,1993,3.038676381706323,0.1661021610242889,23.3,7.4,15.0,529.0,0.3130185503888869,14.1,1.6,10.01176,64.0
33,41000098,07/27/1993,44.3266107483423,-91.9285504732613,1,2,9312028,3.902,0.225,23.5,7.3,15.0,540.0,,12.7,5.6,10.09219,70.0,7,SUMMER,1993,3.902,0.225,23.5,7.3,15.0,540.0,0.41714293064165464,12.7,5.6,10.09219,70.0
34,41000099,07/27/1993,44.3356121570499,-91.9283865624724,1,1,9312013,3.331,0.232,23.5,7.7,18.0,468.0,,26.3,3.8,10.6552,60.0,7,SUMMER,1993,3.331,0.232,23.5,7.7,18.0,468.0,0.3129183236645434,26.3,3.8,10.6552,60.0
35,41000100,07/27/1993,44.3374359450081,-91.9308621655183,1,1,9312012,2.88,0.226,23.5,6.7,20.0,422.0,,28.1,4.2,9.20746,55.0,7,SUMMER,1993,2.88,0.226,23.5,6.7,20.0,422.0,0.03171572672182196,28.1,4.2,9.20746,55.0
36,41000101,07/27/1993,44.3410599619652,-91.9333052780139,1,3,9312051,2.457,0.221,24.1,7.7,16.0,334.0,0.04,19.4,1.7,49.98547,50.0,7,SUMMER,1993,2.457,0.221,24.1,7.7,16.0,334.0,0.04,19.4,1.7,49.98547,50.0
37,41000102,07/27/1993,44.3429069924609,-91.9382898953862,1,2,9312125,,,24.0,6.6,20.0,489.0,,25.5,1.0,12.74638,50.0,7,SUMMER,1993,3.028999820928886,0.22849999765203957,24.0,6.6,20.0,489.0,0.03282859460495755,25.5,1.0,12.74638,50.0
38,41000103,07/27/1993,44.3482610829935,-91.9331746715538,1,2,9312027,2.604,0.207,24.4,15.0,16.0,297.0,,28.2,0.7,79.58371,46.0,7,SUMMER,1993,2.604,0.207,24.4,15.0,16.0,297.0,0.010000002793685712,28.2,0.7,79.58371,46.0
39,41000104,07/27/1993,44.3500613617785,-91.9331420123172,1,3,9312049,2.39,0.225,25.0,9.3,21.0,317.0,0.0,40.2,0.6,33.09517,,7,SUMMER,1993,2.39,0.225,25.0,9.3,21.0,317.0,0.0,40.2,0.6,33.09517,43.5
40,41000105,07/27/1993,44.3518850495013,-91.9356183645306,1,3,9312147,,,26.0,14.7,21.0,295.0,0.01,31.3,0.7,98.3239,42.0,7,SUMMER,1993,2.4729091397540097,0.21802633403938235,26.0,14.7,21.0,295.0,0.01,31.3,0.7,98.3239,42.0
41,41000106,07/27/1993,44.348214104504,-91.928156958802,1,3,9312050,2.433,0.278,26.0,19.9,36.0,272.0,0.03,111.0,0.6,126.31354,35.0,7,SUMMER,1993,2.433,0.278,26.0,19.9,36.0,272.0,0.03,111.0,0.6,126.31354,35.0
42,41000107,07/27/1993,44.3536619175822,-91.9330766846959,1,3,9312146,,,24.9,14.0,15.0,309.0,0.02,19.7,2.0,81.59446,50.0,7,SUMMER,1993,2.47560000000151,0.21779999999987304,24.9,14.0,15.0,309.0,0.02,19.7,2.0,81.59446,50.0
43,41000108,07/27/1993,44.3573325474311,-91.9405390886154,1,3,9312144,,,25.2,16.4,11.0,298.0,0.08,16.4,2.1,64.06072,58.0,7,SUMMER,1993,2.659530414344715,0.22500000000000003,25.2,16.4,11.0,298.0,0.08,16.4,2.1,64.06072,58.0
44,41000109,07/27/1993,44.3591328276474,-91.9405066445461,1,3,9312143,,,25.5,19.4,18.0,298.0,0.0,26.8,1.9,149.39695,45.0,7,SUMMER,1993,2.8617277623188464,0.22540103034128103,25.5,19.4,18.0,298.0,0.0,26.8,1.9,149.39695,45.0
45,41000110,07/28/1993,44.3393297128974,-91.9408633627595,1,1,9312011,3.601,0.236,23.3,6.6,14.0,530.0,,12.2,4.1,9.8509,75.0,7,SUMMER,1993,3.601,0.236,23.3,6.6,14.0,530.0,0.039999999999999994,12.2,4.1,9.8509,75.0
46,41000111,07/28/1993,44.339399249861,-91.9483888307416,1,1,9312010,3.546,0.225,23.0,6.6,14.0,540.0,,14.6,0.6,8.88574,60.0,7,SUMMER,1993,3.546,0.225,23.0,6.6,14.0,540.0,0.04999999793256576,14.6,0.6,8.88574,60.0
47,41000112,07/28/1993,44.3447589883097,-91.9457838710743,1,1,9312112,,,23.2,6.9,15.0,505.0,,13.2,5.8,10.01176,64.0,7,SUMMER,1993,3.633823630244719,0.22599799579823546,23.2,6.9,15.0,505.0,0.3299417008690038,13.2,5.8,10.01176,64.0
48,41000113,07/28/1993,44.3448001194269,-91.9482922709651,1,1,9312111,,,23.3,6.8,13.0,538.0,,11.9,3.9,9.28789,71.0,7,SUMMER,1993,3.2495752690519253,0.18549726662699156,23.3,6.8,13.0,538.0,0.3489940887712111,11.9,3.9,9.28789,71.0
49,41000114,07/28/1993,44.3466465022018,-91.9532776860246,1,1,9312009,3.722,0.227,23.3,6.9,14.0,541.0,,13.5,2.0,10.41391,68.0,7,SUMMER,1993,3.722,0.227,23.3,6.9,14.0,541.0,0.36735538108124294,13.5,2.0,10.41391,68.0
50,41000115,07/28/1993,44.3537784214748,-91.9456221714681,1,2,9312026,2.812,0.225,23.3,6.5,19.0,419.0,,25.7,1.9,10.33348,59.0,7,SUMMER,1993,2.812,0.225,23.3,6.5,19.0,419.0,0.04483137556439692,25.7,1.9,10.33348,59.0
51,41000116,07/28/1993,44.3501546634512,-91.9431777814313,1,2,9312124,,,23.3,6.7,20.0,423.0,,27.8,2.0,12.10294,59.0,7,SUMMER,1993,2.6606832859596627,0.22499999999999998,23.3,6.7,20.0,423.0,0.00558481508406853,27.8,2.0,12.10294,59.0
52,41000117,07/28/1993,44.3628490997467,-91.9529891995889,1,3,9312046,2.936,0.226,23.3,5.9,22.0,328.0,0.32,34.6,0.4,9.8509,40.0,7,SUMMER,1993,2.936,0.226,23.3,5.9,22.0,328.0,0.32,34.6,0.4,9.8509,40.0
53,41000118,07/28/1993,44.3646723641746,-91.9554667068687,1,2,9312121,,,23.3,7.2,19.0,468.0,,24.7,3.3,12.34423,64.0,7,SUMMER,1993,2.343184225832341,0.15570563942675988,23.3,7.2,19.0,468.0,0.3020000147102902,24.7,3.3,12.34423,64.0
54,41000119,07/28/1993,44.3683187344738,-91.9604221824436,1,2,9312022,3.46,0.24,23.6,7.0,20.0,492.0,,23.9,3.4,14.03326,58.0,7,SUMMER,1993,3.46,0.24,23.6,7.0,20.0,492.0,0.13,23.9,3.4,14.03326,58.0
55,41000120,07/28/1993,44.3665184456804,-91.9604540269159,1,2,9312120,,,23.1,7.0,15.0,504.0,,14.9,3.9,10.57477,63.0,7,SUMMER,1993,2.8237678919458005,0.1844953759900633,23.1,7.0,15.0,504.0,0.2750000229478757,14.9,3.9,10.57477,63.0
56,41000121,07/28/1993,44.3719648932957,-91.9653782728059,1,3,9312139,,,23.2,7.1,16.0,499.0,0.23,17.1,1.5,11.4595,67.0,7,SUMMER,1993,2.4552916742295245,0.1690728419272649,23.2,7.1,16.0,499.0,0.23,17.1,1.5,11.4595,67.0
57,41000122,07/28/1993,44.35927150108,-91.9555626744654,1,2,9312122,,,23.3,7.2,19.0,485.0,,24.2,3.4,13.38982,54.0,7,SUMMER,1993,2.5892831069038946,0.16658032044112683,23.3,7.2,19.0,485.0,0.2331208858711047,24.2,3.4,13.38982,54.0
58,41000123,07/28/1993,44.3556479511634,-91.9531174457113,1,1,9312108,,,23.5,7.2,20.0,493.0,,23.2,5.4,13.22896,57.0,7,SUMMER,1993,3.3000632432553596,0.19533437693351746,23.5,7.2,20.0,493.0,0.21449406578007973,23.2,5.4,13.22896,57.0
59,41000124,07/28/1993,44.3538476625473,-91.9531494997586,1,1,9312008,3.716,0.225,23.2,7.0,15.0,518.0,,14.4,6.0,11.4595,64.0,7,SUMMER,1993,3.716,0.225,23.2,7.0,15.0,518.0,0.20445049613907607,14.4,6.0,11.4595,64.0
60,41000125,07/28/1993,44.3538246372955,-91.9506403873262,1,1,9312109,,,23.8,7.4,22.0,473.0,,30.1,0.7,14.43541,57.0,7,SUMMER,1993,3.4146665425589258,0.225,23.8,7.4,22.0,473.0,0.04222912360237903,30.1,0.7,14.43541,57.0
61,41000126,07/28/1993,44.3520243495288,-91.9506725151672,1,1,9312110,,,23.2,7.1,15.0,510.0,,15.3,5.1,12.42466,67.0,7,SUMMER,1993,3.3657668660917084,0.225,23.2,7.1,15.0,510.0,0.04246547145842307,15.3,5.1,12.42466,67.0
62,41000127,07/28/1993,44.3611175757731,-91.9605495424933,1,1,9312107,,,23.2,7.0,16.0,518.0,,14.8,2.6,13.0681,63.0,7,SUMMER,1993,3.3982788628595566,0.1796749336932841,23.2,7.0,16.0,518.0,0.2900000203837057,14.8,2.6,13.0681,63.0
63,41000128,07/28/1993,44.361163141699,-91.965568408623,1,2,9312024,4.318,0.225,23.4,6.9,16.0,539.0,,14.5,0.8,11.29864,69.0,7,SUMMER,1993,4.318,0.225,23.4,6.9,16.0,539.0,0.27865296902051445,14.5,0.8,11.29864,69.0
64,41000129,07/28/1993,44.3539392124936,-91.963185979343,1,2,9312123,,,23.9,7.2,5.0,545.0,,,2.8,,61.0,7,SUMMER,1993,3.1268960284845475,0.17773506472015327,23.9,7.2,5.0,545.0,0.18697525945055063,11.71959594845239,2.8,16.4412981591783,61.0
65,41000130,07/28/1993,44.355716700575,-91.9606450313181,1,2,9312025,4.087,0.241,23.6,6.9,16.0,545.0,,15.0,0.5,10.57477,50.0,7,SUMMER,1993,4.087,0.241,23.6,6.9,16.0,545.0,0.22813220923520533,15.0,0.5,10.57477,50.0
66,41000131,07/28/1993,44.3612084871428,-91.9705872865854,1,2,9312023,3.572,0.234,23.8,7.9,18.0,545.0,,19.4,0.8,11.94208,61.0,7,SUMMER,1993,3.572,0.234,23.8,7.9,18.0,545.0,0.12223494710033057,19.4,0.8,11.94208,61.0
67,41000132,07/29/1993,44.3759222405475,-92.0054760577374,1,3,9312044,4.143,0.241,22.8,7.1,14.0,543.0,0.07,11.5,1.2,9.28789,49.0,7,SUMMER,1993,4.143,0.241,22.8,7.1,14.0,543.0,0.07,11.5,1.2,9.28789,49.0
68,41000133,07/29/1993,44.3705431292436,-92.008077335058,1,2,9312020,3.619,0.227,23.0,7.0,16.0,548.0,,14.5,1.8,9.36832,55.0,7,SUMMER,1993,3.619,0.227,23.0,7.0,16.0,548.0,0.30362573285997674,14.5,1.8,9.36832,55.0
69,41000134,07/29/1993,44.3542526937992,-91.9983140283404,1,3,9312145,,,22.3,7.0,21.0,545.0,0.05,24.9,0.8,12.74638,37.0,7,SUMMER,1993,3.337244739148195,0.18969151432351666,22.3,7.0,21.0,545.0,0.05,24.9,0.8,12.74638,37.0
70,41000135,07/29/1993,44.3614098131351,-91.9931723823069,1,3,9312047,3.665,0.229,23.0,7.1,16.0,553.0,0.36,17.8,1.4,9.28789,58.0,7,SUMMER,1993,3.665,0.229,23.0,7.1,16.0,553.0,0.36,17.8,1.4,9.28789,58.0
71,41000136,07/29/1993,44.3577425895169,-91.9857061167987,1,3,9312048,2.048,0.226,22.3,4.9,10.0,545.0,0.03,12.0,0.7,12.02251,50.0,7,SUMMER,1993,2.048,0.226,22.3,4.9,10.0,545.0,0.03,12.0,0.7,12.02251,50.0
72,41000137,07/29/1993,44.3631657659128,-91.9881224613313,1,3,9312045,3.825,0.243,23.0,7.3,20.0,545.0,0.3,22.9,1.8,10.49434,49.0,7,SUMMER,1993,3.825,0.243,23.0,7.3,20.0,545.0,0.3,22.9,1.8,10.49434,49.0
73,41000138,07/29/1993,44.3631879714886,-91.9906320019648,1,3,9312142,,,23.1,7.2,16.0,546.0,0.36,17.1,2.3,10.81606,54.0,7,SUMMER,1993,3.357000092624969,0.20800000692708098,23.1,7.2,16.0,546.0,0.36,17.1,2.3,10.81606,54.0
74,41000139,07/29/1993,44.3649660713602,-91.9880914679611,1,3,9312141,,,23.2,7.4,16.0,550.0,0.42,18.3,2.1,10.41391,57.0,7,SUMMER,1993,3.4559999999923496,0.21933333333284263,23.2,7.4,16.0,550.0,0.42,18.3,2.1,10.41391,57.0
75,41000140,07/29/1993,44.3667885845696,-91.9905701660059,1,3,9312140,,,23.2,7.3,15.0,550.0,0.07,13.9,1.4,10.33348,49.0,7,SUMMER,1993,3.357000092796429,0.2080000069399039,23.2,7.3,15.0,550.0,0.07,13.9,1.4,10.33348,49.0
76,41000141,07/29/1993,44.3686331442925,-91.9955587946675,1,2,9312021,3.938,0.231,23.1,7.1,16.0,548.0,,14.6,1.1,10.25305,57.0,7,SUMMER,1993,3.938,0.231,23.1,7.1,16.0,548.0,0.10727921630168182,14.6,1.1,10.25305,57.0
77,41000142,07/29/1993,44.3775681930579,-91.9878744333118,1,2,9312119,,,23.2,7.5,19.0,485.0,0.05,23.4,0.7,12.34423,50.0,7,SUMMER,1993,2.6390460312317234,0.19459148529465692,23.2,7.5,19.0,485.0,0.05,23.4,0.7,12.34423,50.0
78,41000143,07/29/1993,44.3792790700178,-91.9778025162172,1,3,9312041,3.427,0.225,23.8,8.1,21.0,487.0,0.09,24.5,1.7,14.43541,42.0,7,SUMMER,1993,3.427,0.225,23.8,8.1,21.0,487.0,0.09,24.5,1.7,14.43541,42.0
79,41000144,07/29/1993,44.3846574539491,-91.9751980778138,1,3,9312137,,,23.3,7.8,19.0,467.0,0.3,25.4,1.6,11.70079,59.0,7,SUMMER,1993,3.5522234334891856,0.22313099353001217,23.3,7.8,19.0,467.0,0.3,25.4,1.6,11.70079,59.0
80,41000145,07/29/1993,44.384589628799,-91.9676667497729,1,2,9312118,,,23.3,6.6,23.0,216.0,,35.9,2.1,15.481,41.0,7,SUMMER,1993,2.9074999999999998,0.1735,23.3,6.6,23.0,216.0,0.19,35.9,2.1,15.481,41.0
81,41000146,07/29/1993,44.3809663367977,-91.9652197448903,1,2,9312019,2.451,0.225,23.8,6.6,22.0,235.0,,35.4,2.8,16.68745,43.0,7,SUMMER,1993,2.451,0.225,23.8,6.6,22.0,235.0,0.19,35.4,2.8,16.68745,43.0
82,41000147,07/29/1993,44.3809890526755,-91.9677300278562,1,3,9312040,3.695,0.221,23.3,8.0,17.0,468.0,0.35,21.6,1.5,13.8724,50.0,7,SUMMER,1993,3.695,0.221,23.3,8.0,17.0,468.0,0.35,21.6,1.5,13.8724,50.0
83,41000148,07/30/1993,44.441457437395,-92.2568358535641,1,4,9312067,4.071,0.223,23.8,7.0,15.0,564.0,0.06,13.2,2.7,13.14853,53.0,7,SUMMER,1993,4.071,0.223,23.8,7.0,15.0,564.0,0.06,13.2,2.7,13.14853,53.0
84,41000149,07/30/1993,44.4457924085229,-92.2575474973121,1,4,9312066,4.016,0.227,23.9,7.2,16.0,561.0,0.05,13.6,9.9,14.03326,51.0,7,SUMMER,1993,4.016,0.227,23.9,7.2,16.0,561.0,0.05,13.6,9.9,14.03326,51.0
85,41000150,07/30/1993,44.4541436900743,-92.241969122444,1,4,9312156,,,23.9,7.1,18.0,556.0,0.07,16.9,9.6,14.51584,49.0,7,SUMMER,1993,2.634232053071012,1.91539358440481,23.9,7.1,18.0,556.0,0.07,16.9,9.6,14.51584,49.0
86,41000151,07/30/1993,44.4734889290553,-92.2581645485748,1,4,9312155,,,23.8,6.9,17.0,556.0,0.1,16.1,8.9,12.10294,57.0,7,SUMMER,1993,3.154537109591207,0.19755112023104163,23.8,6.9,17.0,556.0,0.1,16.1,8.9,12.10294,57.0
87,41000152,07/30/1993,44.4748883393108,-92.2573924055913,1,4,9312154,,,23.7,7.0,14.0,538.0,0.08,11.6,3.3,10.73563,61.0,7,SUMMER,1993,2.9439049360466907,0.17383377599823807,23.7,7.0,14.0,538.0,0.08,11.6,3.3,10.73563,61.0
88,41000153,07/30/1993,44.4759955035531,-92.2573657895369,1,4,9312153,,,23.9,7.1,13.0,536.0,0.06,11.6,2.2,13.14853,71.0,7,SUMMER,1993,2.9596173581914287,0.17324085440787063,23.9,7.1,13.0,536.0,0.06,11.6,2.2,13.14853,71.0
89,41000154,07/30/1993,44.4608846344874,-92.2820448064097,1,4,9312065,3.696,0.14,24.2,7.4,13.0,557.0,,12.2,3.1,17.0896,62.0,7,SUMMER,1993,3.696,0.14,24.2,7.4,13.0,557.0,0.09029453088296349,12.2,3.1,17.0896,62.0
90,41000155,07/30/1993,44.4740307944608,-92.2780990515379,1,4,9312064,3.722,0.221,24.2,7.9,16.0,551.0,,14.8,10.4,21.27196,51.0,7,SUMMER,1993,3.722,0.221,24.2,7.9,16.0,551.0,0.09019467823668163,14.8,10.4,21.27196,51.0
91,41000156,07/30/1993,44.5083265390589,-92.2917411248349,1,4,9312063,3.6,0.214,25.0,8.9,19.0,552.0,0.12,18.0,8.0,30.28012,45.0,7,SUMMER,1993,3.6,0.214,25.0,8.9,19.0,552.0,0.12,18.0,8.0,30.28012,45.0
92,41000157,07/30/1993,44.5084694300914,-92.307704399172,1,4,9312152,,,24.0,7.5,16.0,560.0,0.05,13.4,8.0,17.17003,51.0,7,SUMMER,1993,3.593113218886611,0.18153374617973733,24.0,7.5,16.0,560.0,0.05,13.4,8.0,17.17003,51.0
93,41000158,07/30/1993,44.5217335376016,-92.3187090147046,1,4,9312151,,,24.2,7.3,16.0,564.0,0.05,15.2,7.3,17.0896,50.0,7,SUMMER,1993,3.5765003044356605,0.14000008698161726,24.2,7.3,16.0,564.0,0.05,15.2,7.3,17.0896,50.0
94,41000159,07/30/1993,44.5506715397971,-92.3662255865307,1,4,9312150,,,25.1,8.2,18.0,566.0,0.04,18.0,7.0,16.92874,46.0,7,SUMMER,1993,3.9744122215281865,0.20989926239722462,25.1,8.2,18.0,566.0,0.04,18.0,7.0,16.92874,46.0
