,SHEETBAR,TN,TP,TEMP,DO,TURB,COND,VEL,SS,WDP,CHLcal,SECCHI,LONGITUDE,LATITUDE,DATE,FLDNUM,LOCATCD,STRATUM,YEAR,PREDICTED_TN,PREDICTED_TP
60,41004294,1.703,,25.0,14.5,27.0,417.0,0.56,34.6,1.2,,28.0,-91.8796291069656,44.2010710325737,08/01/1996,1,M742.6B,,1996,1.703,0.13885902983813297
61,41004295,1.865,,23.2,8.4,10.0,386.0,0.7,14.9,1.2,,79.0,-91.9006882148743,44.2618124654878,08/01/1996,1,M747.3R,,1996,1.865,0.1263140396877417
62,41004296,1.741,,25.0,9.4,8.0,442.0,0.12,9.1,1.9,,73.0,-91.9329206186004,44.3269937729101,08/01/1996,1,M753.1X,,1996,1.741,0.1593231751515046
63,41004297,0.945,,25.6,11.3,18.0,223.0,0.12,18.6,3.3,,41.0,-91.9650277809776,44.3797492094712,08/01/1996,1,M757.2Z,,1996,0.945,0.14543014610115534
64,41004302,0.783,,22.9,8.3,7.0,133.0,,8.0,0.28,,28.0,-92.0841852655924,44.4101521483094,08/12/1996,1,CH00.1M,,1996,0.783,0.22050016063246256
65,41004303,1.1,,24.7,8.3,8.0,396.0,,4.8,6.2,,118.0,-92.100457850966,44.4121000425779,08/12/1996,1,M764.3A,,1996,1.1,0.20183104938991278
66,41004304,1.02,,24.7,9.4,7.0,393.0,,6.4,8.8,,104.0,-92.1340042423484,44.4232707508319,08/12/1996,1,M766.0I,,1996,1.02,0.1813971461659893
67,41004322,0.845,,25.0,10.7,12.0,372.0,0.12,11.5,1.8,,69.0,-91.9329206186004,44.3269937729101,08/13/1996,1,M753.1X,,1996,0.845,0.1593231751515046
68,41004323,0.732,,25.3,10.2,13.0,248.0,0.2,15.5,3.4,,47.0,-91.9650277809776,44.3797492094712,08/13/1996,1,M757.2Z,,1996,0.732,0.14543014610115534
69,41004324,0.883,,25.1,9.6,11.0,334.0,,12.3,,,,-91.8115154090745,44.1602915361276,08/13/1996,1,M738.2F,,1996,0.883,0.126451995522953
70,41004325,2.797,,18.2,9.6,9.0,545.0,,14.6,,,,-91.922129028355,44.2087004968765,08/13/1996,1,WW01.3M,,1996,2.797,0.1389431496807488
71,41004326,0.713,,25.1,10.3,11.0,282.0,,14.3,1.8,,67.0,-91.9194452714098,44.3245533232048,08/13/1996,1,M752.8Z,,1996,0.713,0.1489484352952711
72,41004327,1.032,,25.1,10.9,10.0,370.0,,11.6,8.2,,73.0,-91.9238723691241,44.3231816562913,08/13/1996,1,M752.8Y,,1996,1.032,0.1267295645263949
73,41004328,2.431,,24.2,9.3,9.0,581.0,,16.2,1.2,,99.0,-91.927464876255,44.2918850692161,08/13/1996,1,ZM00.1M,,1996,2.431,0.1386974666845313
74,41004329,0.742,,25.7,11.4,11.0,311.0,,10.5,3.0,,91.0,-91.8805425583996,44.2611846511353,08/13/1996,1,M746.9Y,,1996,0.742,0.1263905699181168
75,41004330,0.818,,25.8,10.6,21.0,358.0,0.54,24.4,1.5,,35.0,-91.8792059875384,44.2042449894926,08/13/1996,1,M742.8D,,1996,0.818,0.13885207892900808
76,41004331,1.442,,25.6,12.9,21.0,404.0,0.36,25.2,1.2,,35.0,-91.8796291069656,44.2010710325737,08/13/1996,1,M742.6B,,1996,1.442,0.13885902983813297
77,41004332,0.827,,25.8,12.0,11.0,339.0,0.22,12.4,1.2,,73.0,-91.8786171498415,44.2352729380653,08/13/1996,1,M745.2L,,1996,0.827,0.12638715339567522
78,41004333,1.034,,25.6,11.4,13.0,343.0,0.42,12.0,1.2,,76.0,-91.9006882148743,44.2618124654878,08/13/1996,1,M747.3R,,1996,1.034,0.1263140396877417
79,41004344,1.074,,24.5,8.5,9.0,438.0,,9.1,6.6,,75.0,-92.1340042423484,44.4232707508319,08/26/1996,1,M766.0I,,1996,1.074,0.1813971461659893
80,41004346,2.415,,24.7,8.7,8.0,432.0,,5.6,3.8,,98.0,-92.100457850966,44.4121000425779,08/26/1996,1,M764.3A,,1996,2.415,0.20183104938991278
81,41004348,0.889,,23.2,8.4,23.0,172.0,,27.0,0.9,,58.0,-92.0841852655924,44.4101521483094,08/26/1996,1,CH00.1M,,1996,0.889,0.22050016063246256
82,41004351,0.999,,23.4,10.8,13.0,372.0,0.23,15.3,2.6,,60.0,-91.8786171498415,44.2352729380653,08/29/1996,1,M745.2L,,1996,0.999,0.12638715339567522
83,41004352,1.143,,22.6,14.2,19.0,381.0,0.4,21.8,1.27,,43.0,-91.8796291069656,44.2010710325737,08/29/1996,1,M742.6B,,1996,1.143,0.13885902983813297
84,41004353,1.054,,22.3,11.9,18.0,361.0,0.43,19.9,1.75,,41.0,-91.8792059875384,44.2042449894926,08/29/1996,1,M742.8D,,1996,1.054,0.13885207892900808
85,41004354,1.127,,23.9,10.6,10.0,358.0,,9.1,3.1,,88.0,-91.8805425583996,44.2611846511353,08/29/1996,1,M746.9Y,,1996,1.127,0.1263905699181168
86,41004355,2.519,,21.3,10.4,10.0,596.0,,18.6,1.32,,88.0,-91.927464876255,44.2918850692161,08/29/1996,1,ZM00.1M,,1996,2.519,0.1386974666845313
87,41004356,1.102,,23.3,9.4,10.0,397.0,,11.2,7.9,,100.0,-91.9238723691241,44.3231816562913,08/29/1996,1,M752.8Y,,1996,1.102,0.1267295645263949
88,41004357,1.064,,23.0,9.4,12.0,332.0,,16.9,3.3,,78.0,-91.9194452714098,44.3245533232048,08/29/1996,1,M752.8Z,,1996,1.064,0.1489484352952711
89,41004358,0.893,,24.0,11.1,14.0,369.0,0.45,15.8,1.1,,70.0,-91.9006882148743,44.2618124654878,08/29/1996,1,M747.3R,,1996,0.893,0.1263140396877417
90,41004359,3.191,,17.4,11.4,5.0,557.0,,13.6,,,,-91.922129028355,44.2087004968765,08/29/1996,1,WW01.3M,,1996,3.191,0.1389431496807488
91,41004360,1.291,,23.3,10.2,19.0,365.0,,25.7,,,,-91.8115154090745,44.1602915361276,08/29/1996,1,M738.2F,,1996,1.291,0.126451995522953
92,41004361,0.955,,26.0,13.9,9.0,397.0,0.1,9.1,1.9,,88.0,-91.9329206186004,44.3269937729101,08/29/1996,1,M753.1X,,1996,0.955,0.1593231751515046
93,41004362,0.838,,27.3,25.0,11.0,287.0,0.07,10.8,3.4,,60.0,-91.9650277809776,44.3797492094712,08/29/1996,1,M757.2Z,,1996,0.838,0.14543014610115534
94,41004373,1.312,,23.9,6.0,6.0,457.0,,5.0,4.2,,102.0,-92.100457850966,44.4121000425779,09/09/1996,1,M764.3A,,1996,1.312,0.20183104938991278
95,41004375,0.958,,21.6,8.3,12.0,152.0,,11.1,0.47,,47.0,-92.0841852655924,44.4101521483094,09/09/1996,1,CH00.1M,,1996,0.958,0.22050016063246256
96,41004376,1.234,,24.1,6.8,6.0,460.0,,5.3,6.0,,108.0,-92.1340042423484,44.4232707508319,09/09/1996,1,M766.0I,,1996,1.234,0.1813971461659893
97,41004388,1.176,,22.4,9.1,21.0,385.0,0.32,28.1,1.18,,35.0,-91.8796291069656,44.2010710325737,09/10/1996,1,M742.6B,,1996,1.176,0.13885902983813297
98,41004389,1.161,,22.4,9.3,20.0,385.0,0.37,24.1,1.9,,38.0,-91.8792059875384,44.2042449894926,09/10/1996,1,M742.8D,,1996,1.161,0.13885207892900808
99,41004390,1.205,,23.5,8.2,10.0,365.0,0.35,11.6,2.2,,77.0,-91.8786171498415,44.2352729380653,09/10/1996,1,M745.2L,,1996,1.205,0.12638715339567522
100,41004394,1.09,,23.5,8.1,14.0,362.0,,7.4,3.0,,87.0,-91.8805425583996,44.2611846511353,09/10/1996,1,M746.9Y,,1996,1.09,0.1263905699181168
101,41004395,2.594,,21.3,9.1,22.0,610.0,,51.7,1.46,,56.0,-91.927464876255,44.2918850692161,09/10/1996,1,ZM00.1M,,1996,2.594,0.1386974666845313
102,41004396,1.118,,23.3,7.5,15.0,406.0,,9.8,6.4,,93.0,-91.9238723691241,44.3231816562913,09/10/1996,1,M752.8Y,,1996,1.118,0.1267295645263949
103,41004397,1.087,,23.0,7.8,15.0,315.0,,9.0,2.8,,89.0,-91.9194452714098,44.3245533232048,09/10/1996,1,M752.8Z,,1996,1.087,0.1489484352952711
104,41004398,1.254,,23.6,8.3,16.0,371.0,0.34,14.1,1.52,,89.0,-91.9006882148743,44.2618124654878,09/10/1996,1,M747.3R,,1996,1.254,0.1263140396877417
105,41004399,3.102,,17.0,9.9,12.0,554.0,,7.9,,,,-91.922129028355,44.2087004968765,09/10/1996,1,WW01.3M,,1996,3.102,0.1389431496807488
106,41004400,1.276,,23.2,8.3,16.0,351.0,,14.2,,,,-91.8115154090745,44.1602915361276,09/10/1996,1,M738.2F,,1996,1.276,0.126451995522953
107,41004401,1.003,,23.8,9.5,18.0,291.0,0.09,12.3,3.5,,73.0,-91.9650277809776,44.3797492094712,09/10/1996,1,M757.2Z,,1996,1.003,0.14543014610115534
108,41004402,1.076,,23.7,10.0,17.0,404.0,0.04,12.9,2.0,,73.0,-91.9329206186004,44.3269937729101,09/10/1996,1,M753.1X,,1996,1.076,0.1593231751515046
109,41004407,1.702,,18.2,8.9,8.0,485.0,,6.9,6.6,,96.0,-92.1340042423484,44.4232707508319,09/24/1996,1,M766.0I,,1996,1.702,0.1813971461659893
110,41004409,1.137,,15.8,9.7,6.0,161.0,,6.6,0.45,,45.0,-92.0841852655924,44.4101521483094,09/24/1996,1,CH00.1M,,1996,1.137,0.22050016063246256
111,41004413,1.483,,18.4,8.9,9.0,493.0,,5.7,4.3,,86.0,-92.100457850966,44.4121000425779,09/24/1996,1,M764.3A,,1996,1.483,0.20183104938991278
112,41004427,1.104,,16.7,11.1,12.0,329.0,0.09,12.4,3.4,,56.0,-91.9650277809776,44.3797492094712,09/25/1996,1,M757.2Z,,1996,1.104,0.14543014610115534
113,41004428,1.615,,17.4,10.5,8.0,423.0,0.03,8.7,1.9,,80.0,-91.9329206186004,44.3269937729101,09/25/1996,1,M753.1X,,1996,1.615,0.1593231751515046
114,41004430,1.639,,17.6,10.2,10.0,390.0,,12.6,,,,-91.8115154090745,44.1602915361276,09/25/1996,1,M738.2F,,1996,1.639,0.126451995522953
115,41004431,1.453,,17.7,10.2,8.0,396.0,0.22,9.7,1.34,,93.0,-91.9006882148743,44.2618124654878,09/25/1996,1,M747.3R,,1996,1.453,0.1263140396877417
116,41004432,1.735,,15.7,13.6,22.0,423.0,0.2,32.1,1.12,,36.0,-91.8796291069656,44.2010710325737,09/25/1996,1,M742.6B,,1996,1.735,0.13885902983813297
117,41004434,1.256,,18.0,10.5,9.0,398.0,0.2,11.3,1.4,,81.0,-91.8786171498415,44.2352729380653,09/25/1996,1,M745.2L,,1996,1.256,0.12638715339567522
118,41004435,1.304,,17.9,10.5,9.0,377.0,,8.9,3.4,,78.0,-91.8805425583996,44.2611846511353,09/25/1996,1,M746.9Y,,1996,1.304,0.1263905699181168
119,41004436,1.776,,17.7,9.8,7.0,406.0,,4.8,7.0,,94.0,-91.9238723691241,44.3231816562913,09/25/1996,1,M752.8Y,,1996,1.776,0.1267295645263949
120,41004437,1.201,,17.2,9.8,10.0,335.0,,8.9,6.4,,79.0,-91.9194452714098,44.3245533232048,09/25/1996,1,M752.8Z,,1996,1.201,0.1489484352952711
121,41004438,2.375,,16.6,10.3,5.0,600.0,,6.5,1.51,,151.0,-91.927464876255,44.2918850692161,09/25/1996,1,ZM00.1M,,1996,2.375,0.1386974666845313
122,41004452,1.44,,,,8.0,,,8.2,6.4,,82.0,-92.1340042423484,44.4232707508319,10/08/1996,1,M766.0I,,1996,1.44,0.1813971461659893
123,41004454,1.023,,,,5.0,,,10.6,1.33,,99.0,-92.0841852655924,44.4101521483094,10/08/1996,1,CH00.1M,,1996,1.023,0.22050016063246256
124,41004455,1.536,,,,5.0,,,7.8,3.8,,91.0,-92.100457850966,44.4121000425779,10/08/1996,1,M764.3A,,1996,1.536,0.20183104938991278
125,41004459,1.481,,12.6,11.8,10.0,377.0,,13.8,,,,-91.8115154090745,44.1602915361276,10/10/1996,1,M738.2F,,1996,1.481,0.126451995522953
126,41004460,3.288,,8.8,11.6,5.0,563.0,,9.2,,,,-91.922129028355,44.2087004968765,10/10/1996,1,WW01.3M,,1996,3.288,0.1389431496807488
127,41004461,1.318,,13.1,12.0,7.0,368.0,0.16,8.9,1.7,,80.0,-91.8786171498415,44.2352729380653,10/10/1996,1,M745.2L,,1996,1.318,0.12638715339567522
128,41004463,1.391,,10.6,12.7,51.0,370.0,0.29,56.9,2.1,,26.0,-91.8796291069656,44.2010710325737,10/10/1996,1,M742.6B,,1996,1.391,0.13885902983813297
129,41004466,1.168,,13.1,11.6,6.0,330.0,,6.7,2.8,,89.0,-91.9194452714098,44.3245533232048,10/10/1996,1,M752.8Z,,1996,1.168,0.1489484352952711
130,41004467,1.38,,13.1,11.1,6.0,400.0,,6.5,8.2,,95.0,-91.9238723691241,44.3231816562913,10/10/1996,1,M752.8Y,,1996,1.38,0.1267295645263949
131,41004468,1.35,,13.3,11.7,7.0,376.0,0.31,9.4,1.05,,82.0,-91.9006882148743,44.2618124654878,10/10/1996,1,M747.3R,,1996,1.35,0.1263140396877417
132,41004469,0.959,,12.8,18.0,7.0,289.0,0.16,14.3,3.5,,65.0,-91.9650277809776,44.3797492094712,10/10/1996,1,M757.2Z,,1996,0.959,0.14543014610115534
133,41004470,1.31,,13.6,12.7,4.0,418.0,0.12,4.0,2.0,,110.0,-91.9329206186004,44.3269937729101,10/10/1996,1,M753.1X,,1996,1.31,0.1593231751515046
134,41004539,1.431,,15.1,11.4,9.0,385.0,0.07,11.8,2.0,48.98084,69.0,-91.9541049631535,44.33540041435,10/17/1996,1,9613056,3.0,1996,1.431,0.15573129399105684
135,41004544,1.273,,15.0,11.4,9.0,383.0,0.07,10.8,1.62,55.94812,80.0,-91.9522798188867,44.3322326561619,10/17/1996,1,9613047,3.0,1996,1.273,0.15947459179984505
136,41004545,1.222,,14.7,13.2,11.0,399.0,,15.3,2.2,68.0384,60.0,-91.9385984617787,44.3258042701351,10/17/1996,1,9613048,3.0,1996,1.222,0.1541956846909474
137,41004547,1.34,,14.2,11.0,7.0,349.0,,7.1,5.5,37.60778,88.0,-91.9259111128565,44.3337883163717,10/17/1996,1,9613013,1.0,1996,1.34,0.14913684382212267
138,41004551,1.474,,12.6,12.1,22.0,318.0,,36.1,0.85,154.41218,41.0,-91.9251360509329,44.3418836673591,10/17/1996,1,9613055,3.0,1996,1.474,0.25591090067412514
139,41004553,1.296,,14.5,12.7,8.0,330.0,0.15,11.2,5.2,70.0876,71.0,-91.9474314864013,44.3578464195082,10/17/1996,1,9613028,2.0,1996,1.296,0.24312373843630608
140,41004557,1.33,,14.0,10.1,7.0,557.0,,7.8,3.0,26.95194,95.0,-91.9586276038288,44.3633507934743,10/17/1996,1,9613018,2.0,1996,1.33,0.22046136889158632
141,41004558,1.244,,13.9,9.9,7.0,356.0,,6.4,4.1,26.23472,105.0,-91.9592231072107,44.3651568011627,10/17/1996,1,9613017,2.0,1996,1.244,0.2313183914449578
142,41004561,1.37,,13.8,10.1,6.0,356.0,,6.9,3.8,25.5175,95.0,-91.9855197042746,44.3685444156228,10/17/1996,1,9613012,1.0,1996,1.37,0.10505266807759894
143,41004562,1.381,,13.9,9.9,6.0,357.0,,7.0,2.9,26.5421,98.0,-91.9880294725376,44.3685666804942,10/17/1996,1,9613011,1.0,1996,1.381,0.10602633403941969
144,41004566,1.438,,11.1,10.8,10.0,389.0,,15.6,1.26,32.07494,70.0,-91.9981836538004,44.3619040238468,10/18/1996,1,9613044,3.0,1996,1.438,0.16607461065562068
145,41004568,1.405,,11.3,10.8,13.0,423.0,,25.0,0.8,29.92328,60.0,-91.9982373437004,44.3587534774633,10/18/1996,1,9613207,3.0,1996,1.405,0.17509819482240574
146,41004571,1.507,,12.3,10.7,9.0,438.0,,12.5,1.25,34.7389,75.0,-92.0031492159312,44.3650984861933,10/18/1996,1,9613043,3.0,1996,1.507,0.13474012958884615
147,41004573,1.401,,11.7,12.3,7.0,431.0,,9.0,0.78,31.25526,78.0,-91.9930798632027,44.3668107377858,10/18/1996,1,9613042,3.0,1996,1.401,0.1372318326132731
148,41004574,1.49,,12.1,10.9,14.0,395.0,,20.1,2.3,45.18982,60.0,-92.0054455822988,44.3777225515235,10/18/1996,1,9613010,1.0,1996,1.49,0.17261866519214175
